ชื่อ,คำอ่าน,ความหมาย
บุษบาคม,บุด-สะ-บา-คม,ฤดูแห่งดอกไม้หรือช่วงเวลาอันงดงาม
บุษบาบัณ,บุด-สะ-บา-อัน,ผู้เปี่ยมด้วยฐานะแห่งความดี
บุษปภัทร,บุด-สะ-ปะ-พัด,ดอกไม้ ผู้สดใสงดงามและดีงามเป็นมงคล
บุษปรัชต์,บุด-สะ-ปะ-รัด,ดอกไม้ ผู้สดใสงดงาม
บุษปวัน,บุด-สะ-ปะ-วัน,วันแห่งดอกไม้หรือสวนดอกไม้อันงดงาม
บุษย์,บุด,ดอกไม้หรือสิ่งงดงาม
บุษยมาส,บุด-สะ-ยะ-มาด,เดือนอันงดงามและเป็นมงคล
บุษยา,บุด-สะ-ยา,ผู้มีดอกไม้และความอ่อนโยนสง่างาม
บุษราคัม,บุด-สะ-รา-คำ,ผู้มีรัศมีงดงามดุจดอกไม้และอัญมณีสีเหลืองอันล้ำค่า
บุหงา,บุ-หงา,ดอกไม้หอมหรือบุปผา
บุหรง,บุ-หรง,ผู้เปี่ยมด้วยดอกไม้หอม
บุหลัน,บุ-หลัน,ดวงจันทร์ ผู้เย็นงาม
บูชิต,บู-ชิด,ผู้เปี่ยมด้วยความบูชา
บูรณ์,บูน,ผู้บริบูรณ์สมบูรณ์และสมบูรณ์ครบถ้วน
บูรณ์ชัย,บู-ไช,ผู้บริบูรณ์สมบูรณ์ ผู้สมบูรณ์ครบถ้วน และมีชัยชนะ
บูรณ์ไชย,บูน-ไช,ผู้บริบูรณ์สมบูรณ์ ผู้สมบูรณ์ครบถ้วน และมีชัยชนะ
บูรณ์พิพัฒน์,บูน-พิ-พัด,ผู้มีความก้าวหน้าและความเจริญ
บูรณ์พิภพ,บูน-พิ-พบ,ผู้บริบูรณ์สมบูรณ์และสมบูรณ์ครบถ้วน
บูรณ์พิสิฐ,บูน-พิ-สิด,ผู้บริบูรณ์สมบูรณ์และสมบูรณ์ครบถ้วน
บูรณมาส,บู-ระ-นะ-มาด,ผู้สมบูรณ์ครบถ้วนและมาถึงพร้อมความดี
บูรณมี,บู-ระ-นะ-มี,ผู้สมบูรณ์ครบถ้วนและมั่งมี
บูรณ์รวิศร์,บูน-ระ-วิด,ผู้มีความสว่างและความเป็นผู้นำ
บูรณ์วริทธิ์,บูน-วะ-ริด,ผู้มีความประเสริฐและความสำเร็จ
บูรณ์วิรัช,บูน-วิ-รัด,ผู้มีความรุ่งเรือง
บูรณ์วิวัฒน์,บูน-วิ-วัด,ผู้บริบูรณ์สมบูรณ์ ผู้สมบูรณ์ครบถ้วน และเจริญพัฒนา
บูรณ์วิสิษฐ์,บู-ระ-วิ-สิด,ผู้บริบูรณ์สมบูรณ์ ผู้สมบูรณ์ครบถ้วน และยอดเยี่ยมพิเศษ
บูรณิน,บู-ระ-นิน,ผู้สมบูรณ์ครบถ้วน
บูรณิมา,บู-ระ-นิ-มา,ผู้สมบูรณ์ครบถ้วนและมาถึงพร้อมความดี
บูรณี,บู-ระ-นี,ผู้สมบูรณ์ครบถ้วน
บูรพา,บู-ระ-พา,ทิศตะวันออกหรือเบื้องหน้าอันรุ่งเรือง
บูละ,บู-ละ,ผู้มีความบูชาและความละมุน
เบญจมภร,เบ็น-จะ-มะ-พอน,ผู้มีห้าประการอันครบถ้วนและค้ำจุน
เบญจรักษ์,เบ็น-จะ-รัก,ผู้มีความรัก
เบญจวรรณ,เบ็น-จะ-วัน,ผู้มีความงดงาม
เบญจวรรณ์,เบ็น-จะ-วัน,ผู้มีห้าประการอันครบถ้วน ผู้มีวรรณะงดงาม และประเสริฐ
เบญจา,เบน-จา,ผู้มีค่าห้าประการ
เบญชญา,เบ็น-ยะ-ชะ-ยา,ผู้มีความรู้ครบถ้วนห้าประการ
เบญอิบรอน,เบย-อิ-บอน-นอ,ผู้เปี่ยมด้วยความเป็นสิริมงคลเฉพาะตน
เบ็บ,เบ็บ,ผู้เปี่ยมด้วยความเป็นสิริมงคลเฉพาะตน
